CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A ABRIL 2025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
N°,CODIGO SIO DNI NUM,DEPARTAMENTO,PROVINCIA,DISTRITO,OFICINAS REGIONALES/U.O.,TIPO DE LOCAL,SIGLA TIPO DE LOCAL,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO,NOMBRE DE LA VIA,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC", ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,
1,53,LAMBAYEQUE,CHICLAYO,CHICLAYO,01.- PIURA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES (MINSA),08:45 a 16:30 ,Avenida Luis Gonzáles  Nº 635,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
2,88,LAMBAYEQUE,CHICLAYO,CHICLAYO,01.- PIURA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO (ESSALUD),08:45 a 16:30,Plaza Plaza de la Seguridad Social S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
3,112,PIURA,SULLANA,SULLANA,01.- PIURA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO II-SULLANA (MINSA),08:45 a 16:30,Avenida Santa Rosa S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
4,155,CAJAMARCA,CUTERVO,CUTERVO,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP CUTERVO,08:45 a 16:45,Jirón Comercio N° 1105-1107 Mz. 203 Lt. 14-Urb. Los Jardines ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
5,156,CAJAMARCA,CHOTA,CHOTA,01.- PIURA,AGENCIA,AG,AG CHOTA,08:45 a 16:45,Jirón 30 de Agosto N° 848,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
6,159,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP SANTA CRUZ,08:45 a 16:45,Jirón Domingo Negrón Nº 399,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
7,179,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,01.- PIURA,OFICINA REGISTRAL,OR,OR JOSÉ LEONARDO ORTIZ,08:45 a 16:45,Calle Cacique Cinto Nº 317 Urb. Latina,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
8,351,LAMBAYEQUE,CHICLAYO,CHICLAYO,01.- PIURA,OFICINA REGISTRAL,OR,OR CHICLAYO,08:45 a 16:45,Avenida Balta N° 680 y esquina con Av. Elias Aguirre,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
9,352,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP FERREÑAFE,08:45 a 16:45,Calle Tres Marías Nº 717 – B,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
10,353,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP LAMBAYEQUE,08:45 a 16:45,Avenida Huamachuco N° 342,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
11,473,CAJAMARCA,CUTERVO,CUTERVO,01.- PIURA,OFICINA REGISTRAL AUXILIAR,ORA,ORA SANTA MARIA DE CUTERVO (MINSA),08:45 a 16:30,Jirón Ica S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
12,474,CAJAMARCA,CHOTA,CHOTA,01.- PIURA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS (MINSA),08:45 a 16:30,Jirón Ezequiel Montoya Nª 718,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO,
13,521,PIURA,PIURA,PIURA,01.- PIURA,OFICINA REGISTRAL,OR,OR PIURA,08:45 a 16:45,Calle Libertad Nº 568,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI,
14,522,PIURA,AYABACA,AYABACA,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP AYABACA,08:45 a 16:45,Calle Bolognesi N° 181,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO,
15,523,PIURA,HUANCABAMBA,HUANCABAMBA,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP HUANCABAMBA,08:45 a 16:45, Complejo Terminal Terrestre S/N - Stand 14,OPERATIVO,NO,NO,SI,SI,SI,NO,NO,NO,NO,
16,524,PIURA,MORROPON,CHULUCANAS,01.- PIURA,AGENCIA,AG,AG CHULUCANAS,08:45 a 16:45,Jirón Cuzco N° 202,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI,
17,525,PIURA,PAITA,PAITA,01.- PIURA,PUNTO DE ATENCION PERMANENTE,PAP,PAP PAITA,08:45 a 16:45,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO,
